id,val_niveltensao,idh
S.ANTON LOPES,500,0.676
S.CAETANO SUL,345,0.806
S.DA MESA,500,0.737
S.JOAO PIAUI,500,0.69
S.JOSE CAMPOS,230,0.806
S.MATEUS SUL,230,0.769
S.SANTIAGO,500,0.769
S.VICENTE SUL,230,0.771
SABARA 3,230,0.774
SALTO,440,0.806
SALTO CAXIAS,500,0.769
SALTO GRANDE SP,230,0.806
SAMAMBAIA,500,0.814
SAMUEL,230,0.7
SANT. ARAGUAIA,230,0.69
SANT.DUMONT 2,345,0.774
SANTA BARBARA,440,0.806
SANTA CABECA,230,0.806
SANTA CRUZ1,230,0.771
SANTA LUZIA II,500,0.698
SANTA MARIA,230,0.69
SANTA MARIA 3,230,0.771
SANTA MARTA,230,0.771
SANTA MONICA,230,0.769
SANTA RITA II,230,0.698
SANTA ROSA 1,230,0.771
SANTANA II,230,0.684
SANTAQUITERIA,230,0.769
SANTO ANGELO,500,0.771
SANTO ANGELO2,230,0.771
SAO BORJA2,230,0.771
SAO GOTARDO 2,500,0.774
SAO JOSE,500,0.762
SAO LUIS I,230,0.676
SAO LUIS II,500,0.676
SAO LUIS III,230,0.676
SAO LUIS IV,500,0.676
SAO MATEUS 2,230,0.771
SAO SIMAO-SE,500,0.774
SAPEACU,500,0.691
SARANDI,500,0.769
SARZEDO,345,0.774
SCALA III,230,0.806
SCHARLAU 2,230,0.771
SE BALBINA,230,0.7
SE CUIABA,500,0.736
SE LAJEADO,500,0.731
SE.MAUA,230,0.769
SEGREDO,500,0.769
SERRA MESA 2,500,0.737
SERRA PELADA,500,0.69
SETE LAGOAS 4,345,0.774
SIDEROPOL.ESU,230,0.792
SIDEROPOLIS 2,500,0.792
SIDROLANDIA 2,230,0.742
SILVANIA,500,0.737
SILVES,500,0.7
SIMPLICE,230,0.728
SINOP,500,0.736
SOBRAL II,230,0.734
SOBRAL III,500,0.734
SOL DO SERTAO,500,0.691
SOLVAY,440,0.806
SORRISO,230,0.736
SORRISO II,230,0.736
SR.BONFIM II,230,0.691
STA LUZIA III,500,0.676
STO.A.JESUS,230,0.691
SUAPE II,500,0.719
SUAPE III,230,0.719
SUL,345,0.806
SUMARE,440,0.806
TABOCAS BRJ VLH,230,0.691
TACAIMBO,230,0.719
TACARATU,230,0.719
TAPAJOS II,230,0.69
TAPERA 2,230,0.771
TAQUARA,230,0.771
TAQUARIL,345,0.774
TAQUARUCU,440,0.806
TAUA II,230,0.734
TAUBATE,500,0.806
TEIX FREITAS II,230,0.691
TERESINA,230,0.69
TERESINA II,500,0.69
TERESINA III,230,0.69
TERMINAL RIO,800,0.762
TIANGUA II,500,0.734
TIJUCO PRETO,765,0.806
TIMOTEO 2,230,0.774
TOMBA,230,0.691
TOME ACU,230,0.69
TORRES 2,230,0.771
TOUROS,230,0.728
TOYOTA,230,0.806
TRANSAMAZONIC,230,0.69
TRES IRMAOS,440,0.806
TRES MARIAS-SE,345,0.774
TRINDADE,500,0.737
TUBARAO SUL,230,0.792
TUCUMA,230,0.71
TUCURUI,500,0.69
U.D.FRANCISCA,230,0.771
U.SOBRADINHO,500,0.691
U.URUGUAIANA,230,0.771
U.VITORIA NORTE,230,0.769
UB.ESPERANCA,230,0.69
UBERABA,230,0.769
UBERLANDIA 10,345,0.774
UMBARA,230,0.769
UMUARAMA SUL,230,0.769
URUGUAIANA5,230,0.771
US. L.GONZAGA,500,0.719
USINA XINGO,500,0.684
UTINGA,230,0.69
V.AIRES,230,0.771
VARGINHA 4,345,0.774
VARZ.GRANDE 2,230,0.736
VARZEA PALMA 4,345,0.774
VARZEA PALMA1,345,0.774
VENDA PEDRAS,345,0.762
VERONA,230,0.771
VESPASIANO 2,500,0.774
VIAMAO 3,230,0.771
VIANA,345,0.771
VIANA 2,500,0.771
VIDEIRA,230,0.792
VILA DO CONDE,500,0.69
VILA MARIA,230,0.771
VILHENA,230,0.7
VINHEDOS,230,0.771
VITORIA,345,0.771
VOLTA GRANDE-SE,345,0.774
XANXERE ESU,230,0.792
XAVANTES,345,0.806
XINGU,800,0.69
XINGUARA 2,230,0.69
ZEBU,230,0.684
ZONA OESTE,500,0.762
