nom_subestacao_de,nom_subestacao_para,val_niveltensao_kv,val_comprimento,val_resistencia,val_reatancia,val_shunt,val_capacoperlongasemlimit,val_capacoperlongacomlimit,val_capacopercurtasemlimit,val_capacopercurtacomlimit
RIO VERDE FUR,C. DOURADA,230,175,3.65,16.66,30.33,528,528,665,665
S.DA MESA,NIQUELANDIA,230,105,0.642,6.776,25.61,1428,1200,1799,1200
S.DA MESA,NIQUELANDIA,230,100,0.65,6.51,25.24,1550,1550,1960,1960
TRINDADE,XAVANTES,230,37,0.241,2.382,9.55,1600,1600,2030,2030
TRINDADE,XAVANTES,230,37,0.241,2.382,9.55,1600,1600,2030,2030
XAVANTES,BANDEIRANTES,230,35.8,0.76,3.21,6.3,750,750,863,863
XAVANTES,BANDEIRANTES,230,35.8,0.77,3.24,6.46,550,550,699,699
ACAILANDIA,DOM ELISEU II,230,0,1.009,6.094,11.73,720,720,1000,1000
ACAILANDIA,DOM ELISEU II,230,0,1.009,6.094,11.73,720,720,1000,1000
BALSAS,RIB.GONCALVES,230,95,1.52,8.72,17.1,510,510,630,630
BALSAS,RIB.GONCALVES,230,95,1.451,8.933,16.1,700,700,880,880
CAXIAS II,COELHO NETO,230,103.52,1.958,9.388,17.46,586,586,738,738
CAXIAS II,PERITORO,230,117.56,2.322,11.468,19.939,586,586,738,738
CHAPADINHA II,COELHO NETO,230,74,0.948,6.631,13.49,830,830,1030,1030
CHAPADINHA II,MIRANDA II,230,129,1.642,11.529,23.55,830,830,1030,1030
ENCRUZO NOVO,MIRANDA II,230,240,3.267,19.67,40.2,640,640,850,850
IMPERATRIZ,PORTO FRANCO,230,111,1.94,10.88,18.76,586,586,738,738
IMPERATRIZ,PORTO FRANCO,230,113.121,2.1367,10.626,19.94,620,620,775,775
MIRANDA II,PERITORO,230,95,1.881,9.015,16.58,586,586,738,720
P.DUTRA,PERITORO,230,120,1.68,9.94,18.63,668,668,842,842
SAO LUIS II,MIRANDA II,230,105,2.077,9.959,18.33,586,586,738,600
SAO LUIS II,SAO LUIS I,230,19,0.21,1.262,5.22,1456,1074,1704,1202
SAO LUIS II,SAO LUIS I,230,19,0.21,1.262,5.22,1456,1074,1704,1202
SAO LUIS II,SAO LUIS III,230,36,0.304,2.138,10,1104,1104,1534,1534
SAO LUIS II,SAO LUIS III,230,34.088,0.263,2.255,8.568,1104,1104,1534,1534
SAO LUIS II,SAO LUIS IV,230,1,0.039,0.325,1.267,1380,1380,1740,1740
AIMORES-SE,CONSE. PENA,230,72,1.37,7.06,11.2,838,838,980,980
AIMORES-SE,MASCARENHAS,230,13.6,0.25,1.28,1.356,838,838,980,980
AIMORES-SE,MASCARENHAS,230,11.599,0.22,1.091,2.053,850,850,975,975
APERAM,TIMOTEO 2,230,3.91,0.083,0.413,0.746,627.57,627.57,627.57,627.57
ARACUAI 2,IRAPE-SE,230,61.049,1,6.03,11.57,1004,1004,1004,1004
ARACUAI 2,IRAPE-SE,230,61,0.473,4.057,15.13,1505,1505,1810,1810
BAGUARI-SE,G.VALADARES 2,230,25.519,0.488,2.465,4.374,622,622,784,784
BAGUARI-SE,MESQUITA,230,67.511,1.433,6.643,11.78,622,622,784,784
BARAO COCAIS3,J.MONLEVADE 2,230,34.61,0.662,3.331,5.943,765,765,895,895
BRAUNAS,ITABIRA 2,230,73.4,1.35,6.883,12.96,765,765,895,895
BRAUNAS,PORTO ESTRELA,230,12.2,0.231,1.174,2.206,765,765,895,895
G.VALADARES 6,CONSE. PENA,230,71,1.363,6.894,12.21,838,838,980,980
G.VALADARES 6,G.VALADARES 2,230,6,0.0497,0.3373,1.272,1004,1004,1004,1004
G.VALADARES 6,G.VALADARES 2,230,5.12,0.057,0.387,1.457,1004,1004,1200,1200
G.VALADARES 6,MESQUITA,230,95.31,1.8254,8.9386,16.69,760,760,760,760
GUIL AMORIM-SE,IPATINGA 1,230,50,0.97,4.84,5.1,760.61,760.61,890,890
